match_date,kickoff,competition,opponent_raw,venue,state_raw,perform_url,retrieved_at_jst
2026-09-19,19:00,明治安田Ｊ１リーグ,ファジアーノ岡山,ＪＦＥ晴れの国スタジアム,空席あり,https://www.jleague-ticket.jp/sales/perform/2630702/001,2026-09-16T02:24:38+09:00
2026-10-03,16:00,ルヴァンカップ,ＦＣ町田ゼルビア,町田ＧＩＯＮスタジアム,空席あり,https://www.jleague-ticket.jp/sales/perform/2634301/001,2026-09-16T02:24:38+09:00
2026-10-24,16:00,明治安田Ｊ１リーグ,ガンバ大阪,パナソニックスタジアム吹田,空席あり,https://www.jleague-ticket.jp/sales/perform/2632955/001,2026-09-16T02:24:38+09:00
2026-11-07,14:00,明治安田Ｊ１リーグ,名古屋グランパス,豊田スタジアム,空席あり,https://www.jleague-ticket.jp/sales/perform/2635549/001,2026-09-16T02:24:38+09:00
