event_id,article_id,match_id,kind,label,starts_at,source_url,retrieved_at_jst
news-21382-sec09-entry-1200,21382,sec09,応募の締切,応募の締切,2026-09-10T12:00:00+09:00,https://www.sanga-fc.jp/news/detail/21382,2026-09-19T01:52:30+09:00
news-21388-sec14-entry-1500,21388,sec14,応募の締切,応募の締切,2026-09-17T15:00:00+09:00,https://www.sanga-fc.jp/news/detail/21388,2026-09-19T01:52:30+09:00
news-21414-sec09-entry-2359,21414,sec09,応募の締切,応募の締切,2026-10-05T23:59:00+09:00,https://www.sanga-fc.jp/news/detail/21414,2026-09-19T01:52:30+09:00
news-21414-sec13-entry-2359,21414,sec13,応募の締切,応募の締切,2026-10-05T23:59:00+09:00,https://www.sanga-fc.jp/news/detail/21414,2026-09-19T01:52:30+09:00
