match_date,sale_label,starts_at,source_url,checked_at
2026-10-03,アウェイ席 一般発売 開始,2026-09-03T12:00:00+09:00,https://www.jleague-ticket.jp/sales/perform/2634301/001,2026-09-10
2026-10-24,アウェイ席 一般発売 開始,2026-09-19T10:00:00+09:00,https://www.jleague-ticket.jp/sales/perform/2632955/001,2026-09-10
