ID,表示順,大会,大会表示,節,開催年,開催日,候補日,キックオフ時刻,状態,試合状態,ホームアウェイ,ホームアウェイ表示,対戦相手,対戦相手コード,会場,京都得点,相手得点,結果,チケットURL,イベントURL,放送配信,放送配信URL,注記番号,注記,公開メモ,SNS用短縮タイトル,表示フラグ,根拠URL,確認日,メモ
sec05,5,J1,明治安田J1リーグ,第5節,2026,2026-09-02,,19:00,確定,試合前,H,ホーム,FC東京,fctokyo,サンガスタジアム,,,,https://www.sanga-fc.jp/,,DAZN,,,,チケット情報確認中,京都 vs FC東京,表示,https://www.sanga-fc.jp/news/detail/21152,2026-06-18,公式発表を確認済み
sec16,16,J1,明治安田J1リーグ,第16節,2026,,2026-12-16|2027-04-14,,未確定,未定,H,ホーム,神戸,vissel,サンガスタジアム,,,未定,,,,,※1,※1: 26/12/16(水)もしくは27/4/14(水)のいずれかで開催予定です。,日程変更の可能性あり,京都 vs 神戸,表示,https://www.sanga-fc.jp/news/detail/21152,2026-06-18,候補日あり
