ID,節,開催年,開催日,候補日,状態,ホームアウェイ,ホームアウェイ表示,対戦相手,対戦相手コード,会場,注記,根拠URL,表示順
sec01,第1節,2026,,,未確定,A,アウェイ,長崎,vvaren,未定,,public/sanga202627season.html,1
sec05,第5節,2026,2026-09-02,,確定,H,ホーム,FC東京,fctokyo,サンガスタジアム,,https://www.sanga-fc.jp/news/detail/21152,5
sec16,第16節,2026,,2026-12-16|2027-04-14,未確定,H,ホーム,神戸,vissel,サンガスタジアム,※1: 26/12/16(水)もしくは27/4/14(水)のいずれかで開催予定です。,https://www.sanga-fc.jp/news/detail/21152,16
sec24,第24節,2027,,,未確定,A,アウェイ,広島,sanfrecce,未定,※2: 27/2/24(水)に開催する可能性があります。,https://www.sanga-fc.jp/news/detail/21152,24
